P00027739T0000|0 28|Serum gamma glutamyltransferase
P02784507A0000|62 65|CD4+
P02789062A1420|141 165|NF-4FB recognition sequence
P02793216A0876|131 133|CgA
P02796988A0735|108 110|Sp1
P02796988A0735|22 24|Sp1
P02798953A0307|77 81|WPL-R
P02811378A0379|53 63|S100 protein
P02813404T0000|0 23|Male-enhanced antigen gene
P02820128A1333|136 141|ORF T3C
P02820128A1670|174 180|insulin
P02820128A1670|219 227|T2 protein
P02828926A1870|127 135|actin gene
P02830282A0155|76 106|Staphylococcus aureus V-8 protease
P02831556A0173|19 27|alpha-MSH
P02832149A1009|226 241|mouse myb oncogene
P02832293T0000|8 13|CRF-41
P02833021A1185|111 123|early promoter
P02833049A0630|23 24|U3
P02833049A1041|167 176|RD-114 mRNA
P02834478A0000|97 104|Xa factor
P02837575A0979|39 62|eukaryotic topoisomerase I
P02838246A0225|55 56|T8
P02839716A0673|101 112|SV40 promoter
P02840376A0461|1 8|anti-IIa
P02844767A0191|100 121|apocytochrome f proteins
P02845654A0510|62 63|P2
P02846640A0643|37 54|indoxyl phosphatase
P02846852A1459|94 108|L strand promoter
P02850967T0000|94 115|cAMP-responsive element
P02863492A0544|102 123|platelet-associated IgG
P02863492A0544|121 123|IgG
P02863747T0000|18 29|histone genes
P02865502T0000|40 70|tissue-type plasminogen activator
P02869125A0120|20 36|mu-opiate receptor
P02877124A0000|92 101|H1 receptor
P02884860A0329|50 68|alpha 1 adrenoceptors
P02889352A0000|34 35|BP
P02894789A0954|66 67|T4
P02900760A0073|90 103|RNA polymerase I
P02903500A0278|140 163|immunoglobulin heavy chain
P02910496A0583|147 158|RNAase MRP RNA
P02926499A0340|107 109|CBF
P02928112T0000|31 60|human U2 snRNA-specific A' protein
P02935638A0000|49 57|Spec1 gene
P02936163T0000|90 109|platelet lipoxygenase
P02943562T0000|0 12|Penicillinase
P02949170A0184|161 164|SHBG
P02962859A0276|94 117|U1 snRNP-specific A antigen
P02967915A0000|103 116|calbindin-D28K
P02975680A0000|147 149|GAD
P02982332T0001|14 18|VP-16
P02983316A0310|224 240|mammalian sequence
P02983331T0000|18 56|endogenous corticotropin-releasing factor
P02989637A0671|268 272|renin
P02989786A0328|67 72|CATase
P02991060A0465|5 17|IgG antibodies
P02994253A0482|29 31|NTE
P02995967T0000|64 97|epidermal growth factor-receptor gene
P03001054A0703|59 69|mutant sites
P03001084A0406|105 112|psi alpha
P03001084A0406|88 93|alpha 1
P03001110A0546|100 113|tyrosine kinase
P03004739A0753|148 164|CAT binding protein
P03004982A0199|109 112|fbcC
P03006066A0653|55 59|c-myb
P03008405A0532|60 64|HVC-1
P03015611A0331|94 108|ATP-binding site
P03015628A1078|174 192|alkaline phosphatase
P03015628A1078|169 192|serum alkaline phosphatase
P03016301A0605|113 117|c-myc
P03016301A0605|76 80|c-myc
P03023067A0779|41 73|chimeric viral-cellular transcripts
P03023682A0271|81 83|CAT
P03023682A0271|48 79|chloramphenicol acetyltransferase
P03023970A0922|113 115|p53
P03024703A1036|114 126|hsp108 protein
P03025655T0000|33 66|cytoplasmic protein-tyrosine kinases
P03026915A1024|65 74|yeast genes
P03027905A0632|0 10|Plasma renin
P03034570A0943|146 150|ORF E7
P03035218T0000|59 105|human T-cell leukemia virus type I long terminal repeat
P03036415T0000|11 25|cyclo-oxygenase
P03036817A0213|52 70|NdeI restriction site
P03037334A0932|53 66|yeast RP39A gene
P03038891A0935|63 69|p11 mRNA
P03045117A0936|73 93|epidermal growth factor
P03049570A1242|33 42|E2 proteins
P03050147A0896|103 116|C-specific mRNA
P03050147A1520|170 177|C protein
P03060846T0000|23 35|L1 binding site
P03061383A0000|123 127|Oxa-1
P03062370A0000|0 3|GCN4
P03062370A0384|75 78|GCN4
P03065610A0375|22 25|lacZ
P03073091A0449|52 58|insulin
P03104982A0690|15 24|hemoglobin
P03108171A0088|62 72|S2 receptors
P03115787A0633|81 86|CHAP-5
P03119227A0079|182 195|tyrosine kinase
P03123310A0000|3 32|Drosophila melanogaster Gart gene
P03133250A0000|99 101|hMG
P03133360A1215|97 104|trpE mRNA
P03137346A0319|3 15|nucleolin gene
P03146150T0000|61 73|Pro-urokinase
P03149774A0173|201 212|GABA receptor
P03159903A0352|122 124|IHF
P03179496T0000|35 44|hemoglobin
P03185540T0000|130 134|TFIID
P03192537A0370|172 183|human protein
P03194410A0771|95 104|UOxase gene
P03200844A1211|154 177|nuclear pore glycoproteins
P03212929A0000|52 54|IgE
P03243027T0000|32 51|ribosomal protein gene
P03263357A0112|183 186|IL-1
P03275867A0187|166 178|MAT alpha genes
P03280946A0375|202 224|bacteriophage T7 promoter
P03296212A0603|190 192|IFN
P03296212A0603|23 32|interferon
P03296254A0556|72 82|prothrombin
P03297181A0127|157 160|SR-F
P03312514A0756|127 133|insulin
P03319621A0707|26 47|alpha and beta actin mRNAs
P03319646T0000|0 10|Plasma renin
P03329716A0187|51 60|E1A protein
P03332022A1094|200 213|protein kinase C
P03335398A0568|17 31|immunoglobulin G
P03335651A0000|188 189|T2
P03344812A0924|33 34|BP
P03344812A0924|293 294|BP
P03344812A0924|176 177|BP
P03346210A0000|3 23|epidermal growth factor
P03352947T0001|27 29|ARC
P03360948A0477|103 105|CAP
P03371806A0000|83 91|anti-HSAP
P03372422A0558|33 34|Ar
P03381039A0364|14 16|MAN
P03395009A1750|243 244|L2
P03403480A0299|194 201|collagen
P03417668A1233|116 127|CaM-kinase II
P03428274A0000|172 200|nuclear factor I recognition site
P03443566A0675|68 69|TR
P03446332A0831|53 56|LHRH
P03499608A1054|89 106|11 beta-hydroxylase
P03499657A0000|39 62|serum alkaline phosphatase
P03499657A0000|241 242|HM
P03507689A0000|159 181|bacteriophage T7 promoter
P03507689A0000|191 212|beta-galactosidase gene
P03517388A0763|23 27|CK-MB
P03520729A0381|57 61|renin
P03537721A0876|86 93|PEP4 gene
P03540853A0652|58 75|DNA binding proteins
P03543936A0000|78 94|ras oncogene family
P03544858A0374|102 116|HDL-cholesterol
P03544858A0374|49 55|insulin
P03545955A1378|8 14|insulin
P03553149A0299|95 98|LexA
P03570455A0433|103 108|TSST-1
P03582982A0000|27 43|U4 small nuclear RNA
P03597218A0901|75 89|antithrombin III
P03605895A0888|16 32|carboxyhemoglobin
P03619249A0428|93 97|HBs Ag
P03619249A0428|107 114|anti-HBs
P03619249A0428|237 244|non-Bc Ag
P03651840A0266|55 59|MAO-B
P03652083A0720|79 86|collagen
P03682805A0375|33 50|coagulation protein
P03690262A0428|159 160|T1
P03690262A0428|165 166|T4
P03696899T0001|10 23|erythropoietin
P03697971A0311|19 39|glutathione peroxidase
P03714348A0833|182 184|IgG
P03721594A0000|129 138|fibrinogen
P03757294A0414|14 16|PLD
P03759330A0713|16 17|F1
P03771670T0058|21 35|antithrombin III
P03791645A1124|71 73|MAL
P03802195A0481|100 110|ToxR protein
P03814493T0000|15 24|interferon
P03818467A0180|128 148|glutathione peroxidase
P03830147A0000|71 72|LT
P03836777T0001|71 75|HBs Ag
P03838797A0903|136 145|mutant cDNA
P03862898A0563|11 13|IgE
P03862898A0563|5 7|IgM
P03862898A0563|67 69|E2R
P03874921A0862|112 113|EP
P03891766A1473|16 31|rheumatoid factor
P03894482A0549|30 47|serum IgE antibodies
P03908493A0246|53 68|immunoperoxidase
P03915540A0863|71 74|GCN4
P03915540A0863|76 79|lacZ
P03915540A0863|102 105|gcn3
P03928442A0463|61 69|Mtase gene
P03930894T0000|9 40|muscarinic acetylcholine receptors
P03933784A0420|26 37|CSF prolactin
P03935797A0183|170 190|protein-coding regions
P03952387A0336|95 98|HbO2
P03952387A0336|76 77|O2
P03959045A0000|112 115|MCAT
P03963860A0137|49 52|MY-1
P03972185A0137|38 44|insulin
P03985849A0221|196 198|IgA
P03987818A0440|20 23|AP-A
P04004168A0000|38 61|triosephosphate isomerase
P04014833A0400|95 112|phytohemagglutinin
P04014861A0000|105 123|superoxide dismutase
P04014861A0000|131 138|catalase
P04033402A1112|38 52|HDL-cholesterol
P04038454A0984|57 59|RBP
P04066194A0163|26 27|P2
P04071063A0863|79 88|fibrinogen
P04075021T0000|97 112|monoamine oxidase
P04088936T0001|23 37|antithrombin III
P04138224T0095|49 62|gamma-globulin
P04139081T0001|0 13|HL-A antibodies
P04189158T0000|36 56|anti-Rh immune globulin
P04214345T0000|27 29|IgG
P04328746T0073|21 37|cytochrome oxidase
P04364369T0000|0 20|Pre-beta-1 lipoprotein
P04369884T0000|61 63|CSF
P04377003A0000|111 113|CSF
P04428800T0001|36 38|LAP
P04515631T0000|19 31|antithrombin 3
P04544704T0001|22 37|rheumatoid factor
P04746559T0053|12 16|renin
P04757217T0000|23 26|LP-X
P04757217T0000|50 53|LCAT
P04843031T0000|11 31|galactosyltransferase
P04919613T0001|61 68|collagen
P04976988T0000|15 31|human serum albumin
P05000171T0000|41 61|horseradish peroxidase
P05114515T0000|6 20|lysosomal enzyme
P05132558T0000|55 70|monoamine oxidase
P05170106T0034|105 111|trypsin
P05322558T0000|20 32|hemagglutinin
P05362866T0000|0 4|Renin
P05474466T0001|45 60|rheumatoid factor
P05567721T0000|15 29|thromboplastins
P05763347T0000|34 57|beta-adrenergic receptors
P05781385T0000|20 44|phenolphthalein sulphatase
P05794247T0000|34 55|serum lipoprotein lipase
P05839844T0000|63 73|Aflatoxin B1
P05960999T0001|71 87|C-reactive protein
P06073427T0001|46 55|interferon
P06084279A0218|43 54|serum amylase
P06084864T0001|8 32|maternal alpha fetoproteins
P06090458A0407|86 91|TK gene
P06091914A0000|158 162|int-1
P06094591A0000|55 58|gp37
P06094591A0000|188 191|gp37
P06099656T0000|53 83|adenovirus DNA binding protein gene
P06101359T0000|23 29|insulin
P06110026T0000|0 9|Endorphins
P06131038A0000|34 50|lipoprotein lipase
P06131378A0818|68 75|DHFR cDNA
P06131378A0818|128 135|DHFR cDNA
P06151942A0235|152 160|gamma-GTP
P06152670T0000|0 13|Plasma secretin
P06163433T0000|75 90|monoamine oxidase
P06181216A0070|57 59|IgA
P06185493A0468|116 141|bovine muscle pyruvate kinase
P06208024A0168|46 52|RNase T1
P06209403A0562|38 46|U2/4 locus
P06212776A0000|70 73|G6PD
P06224974A0833|58 60|CPA
P06233924T0000|0 5|Fibrin
P06244732T0000|18 46|serum creatine kinase B isoenzyme
P06272844A0000|133 137|MNase
P06278424A0145|125 130|MPC-11
P06279309A0000|91 96|v-erbB
P06281786A1222|52 63|histone genes
P06287212A1352|101 103|VP1
P06290859A0426|89 106|anti-HBs antibodies
P06298720A0893|96 107|VL30 elements
P06316347A0852|72 89|beta-galactosidase
P06316347A0852|22 25|lacZ
P06316347A0852|8 11|lacZ
P06318078T0000|94 109|alpha gene product
P06318322A0350|180 200|viral-sis messenger RNA
P06321505A0401|127 136|S1 nuclease
P06321770A1353|15 46|chloramphenicol acetyltransferase
P06322183A1070|90 101|NPT II protein
P06327039A0743|187 190|CD25
P06328485A0277|236 255|chicken proto-myc gene
P06328504A0161|93 114|phosphoglycerate kinase
P06341139A0213|21 27|insulin
P06346427A0000|23 29|insulin
P06349364A1051|96 128|type III group B Streptococcus antigen
P06362143A0565|0 10|Plasma renin
P06373855A0000|169 184|immunoperoxidase
P06379363A0415|87 93|insulin
P06379363A0415|34 39|HDL-2M
P06382374A0206|25 31|insulin
P06402859A0000|72 79|thrombin
P06407348A0516|185 189|beta2
P06414990A0057|30 32|TRH
P06435565A0648|178 181|cm-5
P06441624A0263|22 29|serum BGP
P06495195A0536|57 75|alkaline phosphatase
P06501086A0165|243 252|agglutinin
P06513456T0001|0 12|Adenyl cyclase
P06667015A0832|136 140|CK-MB
P06671065A0000|30 36|insulin
P06675047A0000|40 49|hemoglobin
P06685004A0000|58 61|SHBG
P06698047A0445|3 11|Prolactin
P06698047A0445|64 66|TRH
P06702257T0001|0 14|Antithrombin III
P06750608A1442|21 28|lts genes
P06755468A0180|67 73|cob gene
P06775834A0000|0 4|HLA-A
P06782869A0263|148 171|serum alkaline phosphatase
P06784123T0000|16 36|immunoglobulin C mu gene
P06786756T0000|69 92|immunoglobulin delta genes
P06795832A0148|53 55|IgM
P06795832A0148|59 61|IgG
P06795900A0000|79 81|CBF
P06810694A0328|13 27|HDL-cholesterol
P06816123A0526|25 45|glutathione peroxidase
P06816442T0001|17 30|serum myoglobin
P06833422T0000|15 35|20 alpha-hydroxy-9 beta
P06851280A0144|6 15|fibrinogen
P06858805A0314|82 91|Tuberculin
P06869986A0000|57 64|collagen
P06890622A0067|16 31|anti-vasopressor
P06938948T0001|15 34|serum immunoglobulins
P06946314T0000|5 7|IgE
P06972179A0556|8 10|IgE
P06977605T0000|0 9|Endorphins
P06986168A0304|103 112|V8 protease
P06997203A0325|111 113|PHA
P07007591A0324|279 289|transferrin
P07007591A0324|20 20|R
P07007591A0324|45 55|transferrin
P07018810A0002|0 10|Plasma renin
P07038684A1050|110 112|p62
P07038684A1050|199 201|p62
P07064923T0000|11 34|phenylalanine hydroxylase
P07073520A0153|59 61|Na+
P07080496A0097|148 170|low-density lipoproteins
P07112320A0086|30 32|ADA
P07174122A0000|0 18|Serum creatine kinase
P07190627T0000|15 34|plasminogen activator
P07234308A0121|28 31|CHOP
P07256543A0814|96 112|carboxyhemoglobin
P07260389A0221|38 55|serotonin receptors
P07276210T0000|7 32|serum immunoreactive trypsin
P07280654A0000|16 18|HBE
P07326596A0061|3 5|IgA
P07326596A0061|33 35|IgE
P07387242A0236|107 116|hemoglobin
P07405701T0000|32 55|platelet monoamine oxidase
P07413242A0000|60 61|T1
P07413242A0000|63 64|L3
P07432288A0218|0 12|Serum antibody
P07440430A1074|185 194|hemoglobin
P07453919A0000|195 197|IgM
P07453919A0000|201 203|IgG
P07473169A0133|104 111|catalase
P07473169A0133|82 100|superoxide dismutase
P07474124A1360|184 196|F glycoprotein
P07474617A1035|54 56|PRL
P07476164A1602|136 155|wild-type CspB protein
P07476701A0654|24 36|IgE antibodies
P07476963A0000|78 100|nuclear hormone receptors
P07476975A0492|131 142|POMC products
P07478525A1177|13 25|MHBst proteins
P07479004A0421|78 79|P3
P07479004A0421|73 74|P2
P07483276A0139|84 86|UL3
P07483276A0139|91 93|UL3
P07483285A0322|96 98|ras
P07483285A0322|184 196|E7 gene product
P07487067A0592|55 58|APS1
P07487363A0447|16 18|IgE
P07487363A0447|23 27|asIgE
P07487363A0447|31 33|IgG
P07487811A0000|165 169|PSE-2
P07487908A0230|93 95|CAT
P07490079A0825|101 114|murine STEP gene
P07490079T0000|108 117|murine loci
P07490742A0636|43 61|dsRNA binding domains
P07490766T0000|70 88|c-Myc leucine zippers
P07490770A0267|89 106|yeast coxI intron aI4
P07493627A0882|80 83|EC-1
P07493627A0882|135 138|EC-1
P07494274A1015|129 136|alpha TIF
P07494293A0585|101 103|Lck
P07494314A1287|94 106|LMP2A homologs
P07496400A0525|107 116|HMGR1L mRNA
P07498727A0724|140 143|rad6
P07499242A0898|49 53|RAFTK
P07499421A0237|127 158|chloramphenicol acetyltransferase
P07500386A0870|154 157|IRA1
P07500953A0305|101 108|ADR1 gene
P07500953A0305|4 11|ADR1 gene
P07501458A0578|50 56|CHOP-10
P07504171A0715|156 158|Src
P07504171A1214|130 141|Src SH2 domain
P07504712A0843|21 25|actin
P07505798A0000|62 74|hemagglutinin
P07507207A0991|124 128|IRF-1
P07508954A0000|34 38|ABC-P
P07509450A0705|155 163|HSV tk gene
P07509450A0705|53 61|HSV tk gene
P07510635A0479|197 202|Pol III
P07511496A1511|33 42|E-selectin
P07511818A0485|91 93|IFN
P07512258A0441|138 142|G-CSF
P07513703T0000|111 136|insulin receptor substrate-1
P07514295A0000|25 40|cellular proteins
P07514295A0000|102 104|TCR
P07514301A0000|48 50|PKR
P07514301A0000|3 12|interferon
P07516337A1119|9 11|Lck
P07516469A1025|49 51|Src
P07518257A0351|28 37|S1 nuclease
P07518257A0351|100 101|P2
P07518426A0000|72 86|C-X-C chemokines
P07518561A0496|78 80|TCR
P07519447T0000|38 67|endothelial nitric oxide synthase
P07519481A1275|156 160|c-kit
P07520098A0211|99 122|class I Kb-encoded sequence
P07521601A0000|0 25|Hematopoietic growth factors
P07522163T0000|89 91|MHC
P07523363A0440|91 119|USF2 translation initiation site
P07523710T0000|40 67|serum prostate specific antigen
P07524265T0000|45 49|G-CSF
P07525548A1380|89 99|fibronectin
P07525596A0584|122 127|PPIase
P07526609A0736|128 138|wild-type S4
P07526609A0736|39 40|S1
P07526609A0736|83 84|S1
P07528325A0165|74 103|cytoplasmic transcription factor
P07528325A0165|45 54|GH receptor
P07528531A0904|18 22|G-CSF
P07528746A1049|218 221|RHL1
P07528772A0616|67 69|TCR
P07528772A0616|319 337|CD3 epsilon TAM motifs
P07528772A1539|105 110|ZAP-70
P07530502A0974|85 89|c-kit
P07530502T0000|89 112|c-kit gene-encoded protein
P07533880T0000|62 69|traJ mRNA
P07534285A0155|122 125|mMpl
P07534297A0141|102 133|chloramphenicol acetyltransferase
P07534297A0141|135 137|CAT
P07534306A0444|275 282|D-isomer
P07535768A1076|108 128|MAP kinase phosphatases
P07537267A2094|183 204|fetal gamma-globin genes
P07537362A1112|53 56|Eps8
P07537736A0453|166 192|cytokine receptor superfamily
P07537851A0000|178 186|TNF-alpha
P07537851A0891|120 124|IRF-1
P07537851A0891|156 160|IRF-1
P07538068A1094|109 122|Hoxa-7 enhancer
P07539119A0291|155 165|G128R mutant
P07540607A0709|63 81|human immunoglobulin
P07540866A1069|14 20|insulin
P07541912A0485|99 100|P2
P07542616A0313|61 64|GCN4
P07543592A0624|39 56|wild-type E5 protein
P07545510A0735|136 145|cotS region
P07546294A0000|51 77|ubiquitin-conjugating enzyme
P07547500A0066|117 119|p40
P07547500A0066|42 44|p40
P07557091A0314|16 32|human serum albumin
P07557276A0526|0 22|Alanine aminotransferase
P07557424A0124|50 53|lacZ
P07557446T0000|37 45|VCSA1 gene
P07559356T0000|115 122|fnrN gene
P07559402A0622|109 111|PKA
P07559402A0622|74 76|PKC
P07559402A0622|59 72|protein kinase C
P07559488A0440|153 162|wild type ER
P07559555A0557|13 17|c-Jun
P07559640A1230|133 145|bHLH core motif
P07559650A0558|56 58|E2F
P07563072A0773|20 23|lacZ
P07563076A0766|179 181|bi4
P07563090A0124|206 209|PPT2
P07563090A0624|105 108|PPT2
P07565104A0084|59 62|ToxT
P07565104A0084|18 26|pilin gene
P07565669T0000|87 122|myogenic basic helix-loop-helix factors
P07565672A0798|80 84|cox-5
P07565688T0000|25 34|interferon
P07565709A0000|98 111|T-cell receptor
P07565712A0286|26 33|LYS2 gene
P07565713A0634|107 111|Hsp60
P07565720A0256|60 83|glutathione S-transferase
P07565731A1629|117 135|ARE-binding proteins
P07565776A0612|120 123|Hog1
P07565797A0116|64 71|CRY2 mRNA
P07567300T0000|0 25|Staphylococcal enterotoxin A
P07567979A1266|96 100|hERR1
P07568118A1267|152 186|growth factor tyrosine kinase receptors
P07569075A0585|68 69|PR
P07575416A0000|15 17|PKC
P07575416A1970|98 108|PKC zeta mRNA
P07575438A1409|56 64|E1 element
P07576307A1654|155 157|ENK
P07579164A0409|72 80|atp9 genes
P07579683A0660|86 98|c-myc promoter
P07579695A0336|159 163|CBF3B
P07579704A0085|17 21|actin
P07580058A0000|48 78|tissue-type plasminogen activator
P07583562A1826|115 119|LDL-C
P07585559A0000|210 212|ras
P07588240A0000|166 170|CPP32
P07588245T0000|103 104|TR
P07588603A1054|60 76|DH regulatory sites
P07588608A1687|68 83|ets family of genes
P07588633A0362|10 14|c-Fos
P07588633A0362|182 184|Mos
P07589069A1245|160 162|CD6
P07590268A0350|104 121|mammalian MAPKAPK-2
P07590283A0820|252 258|Pol beta
P07590283A0820|120 126|Pol beta
P07590744A0829|95 102|GAR1 gene
P07592337A0891|67 70|nfxB
P07592485A0734|148 164|ure2 delta mutation
P07592647A0797|24 46|alpha recognition element
P07592647T0000|100 122|alpha recognition element
P07592658A0309|3 9|insulin
P07592676A0466|83 91|NIP region
P07592710T0000|78 100|immunoglobulin kappa gene
P07592710T0000|36 38|PKR
P07592711T0000|57 76|G protein alpha subunit
P07592711T0000|107 117|beta subunit
P07592723A0814|134 136|PKC
P07592723A0814|102 104|PKC
P07592730A0204|178 183|TSG-14
P07592790A1457|85 100|N-terminal region
P07592946A0997|170 172|Sp1
P07592946A0997|285 309|hepatocyte nuclear factor-5
P07592946A0997|229 231|p53
P07592946A0997|211 213|NF1
P07594592A0755|13 41|NF-IL6 beta leucine zipper domain
P07596287A0183|149 192|ATP-binding cassette membrane transport proteins
P07597030A0260|104 111|hTAFII32
P07597030A0260|92 96|TFIID
P07597488T0000|22 25|G6PD
P07597804A1007|68 87|glycoprotein gene EUS4
P07599653A0898|43 56|nuclear factors
P07604047A0704|251 254|GA20
P07605990A1110|70 75|GM-CSF
P07605990A1110|162 174|PEBP2 isoforms
P07607197A1048|11 15|renin
P07607669A1112|92 94|Sp1
P07608649A1429|67 70|ET-1
P07608968A0836|149 151|TBP
P07609079A0387|20 27|HIV-1 LTR
P07609079A0387|202 204|Tat
P07609079A0387|218 220|Tat
P07610052A1064|203 216|rat APP promoter
P07615541T0000|51 88|mouse porphobilinogen deaminase gene locus
P07616569A0168|42 58|cytochrome oxidase
P07616569A0168|264 268|rpl16
P07622058A0411|74 115|Drosophila melanogaster segmentation gene runt
P07622521A0418|27 36|G beta gamma
P07622521A0418|206 215|G beta gamma
P07623821T0000|80 110|myocyte-specific enhancer factor 2
P07623840A0352|49 52|GCN2
P07623844A0639|75 77|p53
P07623844A0639|184 195|wild-type p53
P07624581A0312|102 104|PRL
P07628456A0000|201 203|PKR
P07629103T0000|112 134|beta-casein gene promoter
P07629122A0323|87 100|protein kinases
P07629150A0155|114 126|growth factors
P07629196A0274|171 174|SAPK
P07630687A0010|178 192|antithrombin III
P07635140A0172|67 90|tissue-specific promoters
